CoreID,Sample,Red,Green,Blue,l,a,b
ENCANYISSADA1a,50.014,51,39,36,47.119,6.848,4.657
ENCANYISSADA1a,50.084,49,37,34,46.078,7.071,4.826
ENCANYISSADA1a,50.154,51,38,33,46.683,6.797,6.86
ENCANYISSADA1a,50.224,50,37,32,46.16,6.908,6.988
ENCANYISSADA1a,50.294,51,38,33,46.683,6.797,6.86
ENCANYISSADA1a,50.364,51,39,33,47.103,5.65,7.572
ENCANYISSADA1a,50.434,44,33,29,43.777,6.431,6.12
ENCANYISSADA1a,50.504,44,34,29,44.237,5.171,6.903
ENCANYISSADA1a,50.574,46,34,30,44.441,7.01,6.165
ENCANYISSADA1a,50.644,49,36,31,45.627,7.023,7.123
ENCANYISSADA1a,50.714,48,36,32,45.538,6.772,5.927
ENCANYISSADA1a,50.785,47,36,32,45.443,6.098,5.763
ENCANYISSADA1a,50.855,46,35,31,44.898,6.204,5.876
ENCANYISSADA1a,50.925,50,37,32,46.16,6.908,6.988
ENCANYISSADA1a,50.995,51,38,33,46.683,6.797,6.86
ENCANYISSADA1a,51.065,56,45,40,49.961,4.944,5.818
ENCANYISSADA1a,51.135,58,47,42,50.886,4.812,5.645
ENCANYISSADA1a,51.205,57,46,42,50.432,5.241,4.871
ENCANYISSADA1a,51.275,55,44,40,49.494,5.388,5.021
ENCANYISSADA1a,51.345,56,43,38,49.179,6.304,6.296
ENCANYISSADA1a,51.415,56,44,40,49.577,5.989,5.166
ENCANYISSADA1a,51.485,53,41,37,48.122,6.255,5.421
ENCANYISSADA1a,51.555,56,42,38,48.786,7.38,5.629
ENCANYISSADA1a,51.625,59,45,40,50.208,6.715,6.243
ENCANYISSADA1a,51.695,57,44,39,49.656,6.215,6.197
ENCANYISSADA1a,51.765,53,41,36,48.117,5.867,6.357
ENCANYISSADA1a,51.835,53,39,34,47.288,7.325,6.892
ENCANYISSADA1a,51.905,53,39,33,47.283,6.93,7.883
ENCANYISSADA1a,51.975,50,37,31,46.154,6.498,8.02
ENCANYISSADA1a,52.045,49,34,29,44.729,8.628,7.75
ENCANYISSADA1a,52.115,51,37,30,46.241,6.746,9.235
ENCANYISSADA1a,52.185,54,39,32,47.367,7.168,9.048
ENCANYISSADA1a,52.256,54,39,32,47.367,7.168,9.048
