CoreID,Sample,Red,Green,Blue,l,a,b
ERMSTANCADA_a,40.067,68,45,30,50.889,8.292,17.16
ERMSTANCADA_a,40.137,68,45,30,50.889,8.292,17.16
ERMSTANCADA_a,40.207,67,45,30,50.808,7.729,17.021
ERMSTANCADA_a,40.277,74,48,32,52.456,9.257,17.727
ERMSTANCADA_a,40.347,79,52,34,54.219,8.704,18.709
ERMSTANCADA_a,40.417,80,53,35,54.63,8.607,18.43
ERMSTANCADA_a,40.488,79,52,34,54.219,8.704,18.709
ERMSTANCADA_a,40.558,80,52,34,54.292,9.212,18.835
ERMSTANCADA_a,40.628,82,54,35,55.104,8.7,19.236
ERMSTANCADA_a,40.698,82,53,34,54.77,9.296,19.649
ERMSTANCADA_a,40.768,80,52,34,54.292,9.212,18.835
ERMSTANCADA_a,40.838,80,53,35,54.63,8.607,18.43
ERMSTANCADA_a,40.908,79,52,35,54.224,9.023,17.738
ERMSTANCADA_a,40.978,80,52,34,54.292,9.212,18.835
ERMSTANCADA_a,41.048,80,52,34,54.292,9.212,18.835
ERMSTANCADA_a,41.118,79,52,34,54.219,8.704,18.709
ERMSTANCADA_a,41.188,80,52,33,54.287,8.894,19.825
ERMSTANCADA_a,41.258,78,51,33,53.803,8.804,18.999
ERMSTANCADA_a,41.328,78,50,32,53.456,9.425,19.43
ERMSTANCADA_a,41.398,76,49,31,52.955,9.012,19.616
ERMSTANCADA_a,41.468,74,48,31,52.451,8.923,18.758
ERMSTANCADA_a,41.538,71,46,30,51.495,8.943,18.194
ERMSTANCADA_a,41.608,70,45,29,51.044,9.058,18.514
ERMSTANCADA_a,41.678,72,47,31,51.94,8.831,17.888
ERMSTANCADA_a,41.748,73,47,31,52.018,9.371,18.022
ERMSTANCADA_a,41.818,72,47,30,51.935,8.491,18.942
ERMSTANCADA_a,41.888,71,47,30,51.857,7.945,18.807
ERMSTANCADA_a,41.959,70,46,30,51.416,8.393,18.058
