CoreID,Sample,Red,Green,Blue,l,a,b
LLANADA_a,40.067,92,74,47,61.783,0.727,20.067
LLANADA_a,40.137,92,74,48,61.786,1.001,19.282
LLANADA_a,40.207,93,74,48,61.846,1.45,19.385
LLANADA_a,40.277,96,77,51,62.843,1.413,18.773
LLANADA_a,40.347,96,78,52,63.112,0.968,18.48
LLANADA_a,40.417,95,76,51,62.517,1.693,18.218
LLANADA_a,40.488,95,76,50,62.513,1.425,18.971
LLANADA_a,40.558,97,78,52,63.17,1.402,18.579
LLANADA_a,40.628,97,78,52,63.17,1.402,18.579
LLANADA_a,40.698,95,75,50,62.243,2.149,18.514
LLANADA_a,40.768,94,75,51,62.188,1.978,17.659
LLANADA_a,40.838,96,77,53,62.85,1.945,17.296
LLANADA_a,40.908,98,78,53,63.231,2.096,17.945
LLANADA_a,40.978,99,78,53,63.288,2.525,18.043
LLANADA_a,41.048,99,79,54,63.554,2.079,17.765
LLANADA_a,41.118,102,81,57,64.253,2.72,16.815
LLANADA_a,41.188,105,83,58,64.933,2.837,17.277
LLANADA_a,41.258,103,83,58,64.823,2.015,17.088
LLANADA_a,41.328,100,80,56,63.879,2.321,16.882
LLANADA_a,41.398,99,80,56,63.822,1.898,16.785
LLANADA_a,41.468,102,82,58,64.513,2.285,16.56
LLANADA_a,41.538,101,82,59,64.461,2.123,15.782
LLANADA_a,41.608,95,77,55,62.799,2.041,15.756
LLANADA_a,41.678,96,76,54,62.586,2.929,16.117
LLANADA_a,41.748,95,75,53,62.254,2.954,16.284
LLANADA_a,41.818,96,76,53,62.582,2.664,16.842
LLANADA_a,41.888,103,82,57,64.565,2.446,17.346
LLANADA_a,41.959,106,85,60,65.498,2.391,16.867
LLANADA_a,42.029,105,84,60,65.193,2.658,16.348
LLANADA_a,42.099,106,85,59,65.494,2.143,17.542
LLANADA_a,42.169,107,86,60,65.8,2.127,17.382
LLANADA_a,42.239,108,86,59,65.851,2.284,18.149
LLANADA_a,42.309,110,87,60,66.207,2.665,18.077
LLANADA_a,42.379,112,88,61,66.561,3.04,18.006
LLANADA_a,42.449,112,89,62,66.807,2.627,17.757
LLANADA_a,42.519,114,90,63,67.155,2.997,17.693
LLANADA_a,42.589,115,90,62,67.204,3.147,18.435
LLANADA_a,42.659,119,93,63,68.124,2.997,19.342
LLANADA_a,42.729,124,97,66,69.308,3.061,19.422
LLANADA_a,42.799,127,100,68,70.138,2.782,19.576
LLANADA_a,42.869,129,102,70,70.684,2.747,19.272
LLANADA_a,42.939,128,101,69,70.412,2.764,19.423
LLANADA_a,43.009,129,101,70,70.463,3.343,18.897
LLANADA_a,43.079,131,103,71,71.003,3.085,19.207
LLANADA_a,43.149,135,106,75,71.853,3.589,18.279
LLANADA_a,43.219,138,109,77,72.637,3.318,18.455
LLANADA_a,43.289,141,111,78,73.195,3.41,18.835
LLANADA_a,43.359,140,111,79,73.153,3.28,18.196
LLANADA_a,43.43,138,109,76,72.634,3.109,19.026
LLANADA_a,43.5,139,110,77,72.893,3.091,18.89
LLANADA_a,43.57,140,110,77,72.938,3.43,18.969
LLANADA_a,43.64,139,110,77,72.893,3.091,18.89
LLANADA_a,43.71,141,112,79,73.406,3.056,18.627
LLANADA_a,43.78,143,114,81,73.914,3.022,18.373
LLANADA_a,43.85,142,113,80,73.661,3.039,18.499
LLANADA_a,43.92,141,112,80,73.409,3.261,18.071
LLANADA_a,43.99,141,112,80,73.409,3.261,18.071
LLANADA_a,44.06,139,110,78,72.896,3.299,18.324
LLANADA_a,44.13,139,110,77,72.893,3.091,18.89
LLANADA_a,44.2,139,111,78,73.105,2.736,18.68
LLANADA_a,44.27,139,110,78,72.896,3.299,18.324
LLANADA_a,44.34,136,108,76,72.33,2.994,18.508
LLANADA_a,44.41,134,106,75,71.807,3.242,18.198
LLANADA_a,44.48,134,105,74,71.588,3.61,18.414
LLANADA_a,44.55,135,106,75,71.853,3.589,18.279
LLANADA_a,44.62,138,108,75,72.419,3.47,19.243
LLANADA_a,44.69,139,110,77,72.893,3.091,18.89
LLANADA_a,44.76,140,111,78,73.15,3.074,18.758
LLANADA_a,44.83,140,110,77,72.938,3.43,18.969
LLANADA_a,44.901,138,109,77,72.637,3.318,18.455
LLANADA_a,44.971,136,108,76,72.33,2.994,18.508
LLANADA_a,45.041,135,107,75,72.068,3.012,18.642
LLANADA_a,45.111,136,107,75,72.114,3.357,18.722
LLANADA_a,45.181,137,108,76,72.376,3.337,18.587
LLANADA_a,45.251,137,108,76,72.376,3.337,18.587
LLANADA_a,45.321,139,110,78,72.896,3.299,18.324
LLANADA_a,45.391,138,110,77,72.847,2.751,18.812
LLANADA_a,45.461,137,108,75,72.373,3.127,19.163
LLANADA_a,45.531,138,108,75,72.419,3.47,19.243
LLANADA_a,45.601,141,110,76,72.981,3.56,19.618
LLANADA_a,45.671,142,112,79,73.451,3.391,18.705
LLANADA_a,45.741,142,112,78,73.448,3.186,19.266
LLANADA_a,45.811,145,114,79,73.997,3.279,19.635
LLANADA_a,45.881,147,116,81,74.498,3.243,19.369
LLANADA_a,45.951,150,118,83,75.037,3.531,19.188
LLANADA_a,46.021,149,117,82,74.79,3.55,19.315
LLANADA_a,46.091,146,115,81,74.251,3.462,18.949
LLANADA_a,46.161,145,114,79,73.997,3.279,19.635
LLANADA_a,46.231,142,112,77,73.446,2.981,19.832
LLANADA_a,46.301,139,109,75,72.677,3.241,19.68
LLANADA_a,46.372,139,109,75,72.677,3.241,19.68
LLANADA_a,46.442,141,111,77,73.193,3.204,19.401
LLANADA_a,46.512,141,112,79,73.406,3.056,18.627
LLANADA_a,46.582,141,112,79,73.406,3.056,18.627
LLANADA_a,46.652,143,113,80,73.705,3.372,18.576
LLANADA_a,46.722,144,115,82,74.165,3.006,18.249
LLANADA_a,46.792,144,114,81,73.958,3.353,18.45
LLANADA_a,46.862,145,114,80,74,3.481,19.078
LLANADA_a,46.932,146,115,81,74.251,3.462,18.949
LLANADA_a,47.002,146,115,81,74.251,3.462,18.949
LLANADA_a,47.072,146,114,80,74.044,3.811,19.155
LLANADA_a,47.142,146,114,80,74.044,3.811,19.155
LLANADA_a,47.212,147,116,83,74.504,3.643,18.279
LLANADA_a,47.282,146,116,82,74.457,3.116,18.746
LLANADA_a,47.352,146,115,81,74.251,3.462,18.949
LLANADA_a,47.422,147,115,81,74.295,3.79,19.025
LLANADA_a,47.492,148,116,81,74.542,3.57,19.445
LLANADA_a,47.562,149,116,81,74.586,3.895,19.52
LLANADA_a,47.632,151,119,84,75.283,3.513,19.062
LLANADA_a,47.702,152,120,85,75.527,3.494,18.939
LLANADA_a,47.772,151,120,85,75.484,3.174,18.865
LLANADA_a,47.843,151,121,87,75.687,3.034,18.144
LLANADA_a,47.913,152,122,88,75.929,3.018,18.029
LLANADA_a,47.983,155,124,90,76.452,3.301,17.878
LLANADA_a,48.053,154,124,91,76.412,3.18,17.295
LLANADA_a,48.123,152,122,89,75.932,3.213,17.511
LLANADA_a,48.193,150,120,86,75.444,3.05,18.261
LLANADA_a,48.263,152,120,87,75.532,3.885,17.883
LLANADA_a,48.333,150,120,87,75.446,3.246,17.734
LLANADA_a,48.403,147,116,83,74.504,3.643,18.279
LLANADA_a,48.473,147,115,81,74.295,3.79,19.025
LLANADA_a,48.543,147,115,81,74.295,3.79,19.025
LLANADA_a,48.613,144,113,80,73.75,3.704,18.653
LLANADA_a,48.683,143,112,79,73.496,3.725,18.782
LLANADA_a,48.753,141,112,80,73.409,3.261,18.071
LLANADA_a,48.823,141,111,80,73.201,3.822,17.718
LLANADA_a,48.893,140,111,79,73.153,3.28,18.196
LLANADA_a,48.963,141,112,79,73.406,3.056,18.627
LLANADA_a,49.033,143,114,81,73.914,3.022,18.373
LLANADA_a,49.103,143,113,80,73.705,3.372,18.576
LLANADA_a,49.173,144,114,81,73.958,3.353,18.45
LLANADA_a,49.243,145,115,82,74.21,3.335,18.325
LLANADA_a,49.314,145,115,82,74.21,3.335,18.325
LLANADA_a,49.384,144,113,80,73.75,3.704,18.653
LLANADA_a,49.454,145,114,81,74.003,3.683,18.526
LLANADA_a,49.524,144,113,80,73.75,3.704,18.653
LLANADA_a,49.594,143,112,79,73.496,3.725,18.782
LLANADA_a,49.664,141,111,79,73.198,3.616,18.274
LLANADA_a,49.734,140,110,79,72.944,3.843,17.841
LLANADA_a,49.804,138,109,77,72.637,3.318,18.455
LLANADA_a,49.874,138,108,77,72.425,3.888,18.096
LLANADA_a,49.944,138,108,77,72.425,3.888,18.096
LLANADA_a,50.014,139,109,78,72.685,3.865,17.967
LLANADA_a,50.084,140,110,78,72.941,3.637,18.403
LLANADA_a,50.154,139,111,80,73.11,3.149,17.562
LLANADA_a,50.224,138,109,78,72.639,3.526,17.889
LLANADA_a,50.294,137,108,76,72.376,3.337,18.587
LLANADA_a,50.364,136,108,76,72.33,2.994,18.508
LLANADA_a,50.434,137,108,77,72.379,3.547,18.016
LLANADA_a,50.504,139,109,77,72.682,3.658,18.533
LLANADA_a,50.574,140,110,78,72.941,3.637,18.403
LLANADA_a,50.644,139,110,78,72.896,3.299,18.324
LLANADA_a,50.714,138,109,77,72.637,3.318,18.455
LLANADA_a,50.785,137,108,77,72.379,3.547,18.016
LLANADA_a,50.855,136,108,77,72.333,3.204,17.937
LLANADA_a,50.925,136,107,76,72.117,3.568,18.146
LLANADA_a,50.995,138,109,77,72.637,3.318,18.455
LLANADA_a,51.065,138,109,78,72.639,3.526,17.889
LLANADA_a,51.135,138,109,77,72.637,3.318,18.455
LLANADA_a,51.205,139,109,77,72.682,3.658,18.533
LLANADA_a,51.275,141,111,79,73.198,3.616,18.274
LLANADA_a,51.345,140,110,79,72.944,3.843,17.841
LLANADA_a,51.415,139,109,78,72.685,3.865,17.967
LLANADA_a,51.485,140,111,79,73.153,3.28,18.196
LLANADA_a,51.555,138,109,79,72.642,3.734,17.327
LLANADA_a,51.625,137,109,78,72.594,3.186,17.81
LLANADA_a,51.695,137,108,78,72.382,3.756,17.45
LLANADA_a,51.765,135,107,77,72.073,3.434,17.495
LLANADA_a,51.835,134,107,76,72.024,2.877,17.986
LLANADA_a,51.905,135,107,76,72.071,3.223,18.066
LLANADA_a,51.975,135,107,77,72.073,3.434,17.495
LLANADA_a,52.045,135,107,76,72.071,3.223,18.066
LLANADA_a,52.115,136,107,76,72.117,3.568,18.146
LLANADA_a,52.185,134,107,76,72.024,2.877,17.986
LLANADA_a,52.256,132,106,76,71.716,2.759,17.461
LLANADA_a,52.326,130,104,74,71.183,2.793,17.721
LLANADA_a,52.396,131,104,75,71.233,3.361,17.221
LLANADA_a,52.466,133,106,76,71.763,3.108,17.542
LLANADA_a,52.536,135,108,77,72.287,2.861,17.857
LLANADA_a,52.606,135,108,78,72.29,3.071,17.291
LLANADA_a,52.676,134,107,76,72.024,2.877,17.986
LLANADA_a,52.746,133,106,75,71.76,2.895,18.118
LLANADA_a,52.816,134,107,76,72.024,2.877,17.986
LLANADA_a,52.886,134,107,76,72.024,2.877,17.986
LLANADA_a,52.956,134,107,77,72.027,3.089,17.416
LLANADA_a,53.026,135,108,77,72.287,2.861,17.857
LLANADA_a,53.096,135,108,78,72.29,3.071,17.291
LLANADA_a,53.166,134,107,77,72.027,3.089,17.416
LLANADA_a,53.236,135,107,77,72.073,3.434,17.495
LLANADA_a,53.306,136,108,78,72.336,3.414,17.371
LLANADA_a,53.376,135,107,77,72.073,3.434,17.495
LLANADA_a,53.446,135,107,76,72.071,3.223,18.066
LLANADA_a,53.516,137,109,77,72.591,2.977,18.376
LLANADA_a,53.586,137,109,78,72.594,3.186,17.81
LLANADA_a,53.656,136,108,77,72.333,3.204,17.937
LLANADA_a,53.727,136,108,77,72.333,3.204,17.937
LLANADA_a,53.797,136,108,78,72.336,3.414,17.371
LLANADA_a,53.867,137,109,78,72.594,3.186,17.81
LLANADA_a,53.937,140,111,80,73.156,3.486,17.64
LLANADA_a,54.007,141,112,81,73.412,3.466,17.519
LLANADA_a,54.077,144,115,84,74.171,3.409,17.168
LLANADA_a,54.147,143,115,84,74.127,3.08,17.091
LLANADA_a,54.217,142,114,83,73.875,3.097,17.206
LLANADA_a,54.287,142,114,84,73.877,3.3,16.667
LLANADA_a,54.357,141,113,82,73.621,3.114,17.323
LLANADA_a,54.427,141,113,82,73.621,3.114,17.323
LLANADA_a,54.497,141,113,83,73.624,3.318,16.78
LLANADA_a,54.567,144,115,84,74.171,3.409,17.168
LLANADA_a,54.637,146,116,85,74.465,3.717,17.13
LLANADA_a,54.707,148,119,86,75.158,2.941,17.774
LLANADA_a,54.777,147,117,85,74.711,3.498,17.549
LLANADA_a,54.847,147,116,83,74.504,3.643,18.279
LLANADA_a,54.917,147,117,84,74.708,3.299,18.083
LLANADA_a,54.987,147,117,84,74.708,3.299,18.083
LLANADA_a,55.057,148,117,84,74.752,3.624,18.158
LLANADA_a,55.127,151,120,87,75.489,3.566,17.809
LLANADA_a,55.198,150,120,87,75.446,3.246,17.734
LLANADA_a,55.268,148,118,86,74.958,3.479,17.435
LLANADA_a,55.338,148,118,86,74.958,3.479,17.435
LLANADA_a,55.408,149,118,86,75.002,3.802,17.51
LLANADA_a,55.478,148,117,84,74.752,3.624,18.158
LLANADA_a,55.548,148,117,84,74.752,3.624,18.158
LLANADA_a,55.618,147,116,83,74.504,3.643,18.279
LLANADA_a,55.688,147,116,82,74.501,3.443,18.822
LLANADA_a,55.758,149,117,83,74.793,3.749,18.772
LLANADA_a,55.828,150,118,84,75.04,3.729,18.649
LLANADA_a,55.898,149,117,83,74.793,3.749,18.772
LLANADA_a,55.968,149,116,82,74.589,4.094,18.973
LLANADA_a,56.038,149,117,83,74.793,3.749,18.772
LLANADA_a,56.108,149,117,83,74.793,3.749,18.772
LLANADA_a,56.178,148,116,82,74.545,3.769,18.898
LLANADA_a,56.248,150,119,85,75.242,3.388,18.453
LLANADA_a,56.318,150,119,86,75.245,3.585,17.923
LLANADA_a,56.388,148,118,85,74.956,3.281,17.965
LLANADA_a,56.458,149,119,86,75.202,3.264,17.849
LLANADA_a,56.528,148,119,86,75.158,2.941,17.774
LLANADA_a,56.598,145,116,84,74.418,3.19,17.589
LLANADA_a,56.669,145,116,84,74.418,3.19,17.589
LLANADA_a,56.739,146,116,85,74.465,3.717,17.13
LLANADA_a,56.809,145,116,84,74.418,3.19,17.589
LLANADA_a,56.879,145,115,83,74.212,3.536,17.782
LLANADA_a,56.949,145,115,83,74.212,3.536,17.782
LLANADA_a,57.019,144,114,82,73.961,3.556,17.902
LLANADA_a,57.089,142,112,80,73.454,3.596,18.148
LLANADA_a,57.159,141,111,80,73.201,3.822,17.718
LLANADA_a,57.229,139,110,79,72.898,3.506,17.763
LLANADA_a,57.299,139,110,79,72.898,3.506,17.763
LLANADA_a,57.369,142,113,81,73.663,3.243,17.947
