CoreID,Sample,Red,Green,Blue,l,a,b
PANISSOS_BIS_a,60.031,186,132,89,79.222,8.285,23.13
PANISSOS_BIS_a,60.101,187,134,89,79.625,7.576,23.816
PANISSOS_BIS_a,60.171,181,125,84,77.707,9.509,23.208
PANISSOS_BIS_a,60.241,188,132,88,79.298,8.676,23.785
PANISSOS_BIS_a,60.311,189,138,92,80.43,6.708,23.638
PANISSOS_BIS_a,60.381,182,130,88,78.692,7.964,22.749
PANISSOS_BIS_a,60.451,183,130,86,78.727,7.895,23.867
PANISSOS_BIS_a,60.521,176,125,82,77.496,7.677,23.936
PANISSOS_BIS_a,60.591,156,110,74,73.651,8.084,21.941
PANISSOS_BIS_a,60.661,155,110,72,73.601,7.364,23.041
PANISSOS_BIS_a,60.731,152,110,73,73.469,6.592,22.218
PANISSOS_BIS_a,60.801,136,96,64,69.665,7.547,21.328
PANISSOS_BIS_a,60.871,151,105,70,72.366,8.518,22.153
PANISSOS_BIS_a,60.941,154,111,74,73.768,6.879,22.136
PANISSOS_BIS_a,61.011,151,109,72,73.214,6.629,22.38
PANISSOS_BIS_a,61.082,145,100,65,70.993,8.433,22.945
PANISSOS_BIS_a,61.152,154,105,68,72.499,9.092,23.614
PANISSOS_BIS_a,61.222,140,97,65,70.088,8.542,21.406
PANISSOS_BIS_a,61.292,119,81,55,65.184,9.027,19.839
PANISSOS_BIS_a,61.362,104,71,48,61.677,8.454,19.118
PANISSOS_BIS_a,61.432,73,51,35,53.441,6.844,16.399
PANISSOS_BIS_a,61.502,58,43,29,49.301,4.127,15.531
PANISSOS_BIS_a,61.572,54,38,25,46.912,5.515,16.085
PANISSOS_BIS_a,61.642,56,40,26,47.921,4.954,16.604
PANISSOS_BIS_a,61.712,56,40,26,47.921,4.954,16.604
PANISSOS_BIS_a,61.782,54,39,26,47.334,4.784,15.603
PANISSOS_BIS_a,61.852,59,42,31,49.006,6.557,12.883
PANISSOS_BIS_a,61.922,64,46,35,50.963,6.778,12.176
PANISSOS_BIS_a,61.992,77,55,39,55.094,6.539,15.471
PANISSOS_BIS_a,62.062,101,73,50,62.053,6.215,18.202
PANISSOS_BIS_a,62.132,109,81,54,64.632,4.837,19.608
PANISSOS_BIS_a,62.202,107,78,52,63.739,5.618,19.561
PANISSOS_BIS_a,62.272,92,68,47,60.101,5.253,17.217
PANISSOS_BIS_a,62.342,69,49,34,52.436,6.257,15.665
PANISSOS_BIS_a,62.412,67,45,31,50.813,8.082,15.967
PANISSOS_BIS_a,62.482,59,40,27,48.189,7.218,15.899
PANISSOS_BIS_a,62.553,47,32,23,43.577,7.18,12.906
PANISSOS_BIS_a,62.623,53,36,25,45.969,7.191,14.484
PANISSOS_BIS_a,62.693,64,47,31,51.311,4.353,16.803
PANISSOS_BIS_a,62.763,75,51,35,53.59,7.897,16.656
PANISSOS_BIS_a,62.833,115,76,49,63.659,9.523,21.716
PANISSOS_BIS_a,62.903,134,92,58,68.633,8.016,23.591
PANISSOS_BIS_a,62.973,137,94,60,69.248,8.266,23.27
PANISSOS_BIS_a,63.043,130,88,56,67.484,8.688,23.039
PANISSOS_BIS_a,63.113,135,90,57,68.215,9.426,23.58
PANISSOS_BIS_a,63.183,141,94,60,69.446,9.664,23.611
PANISSOS_BIS_a,63.253,140,92,60,68.939,10.574,22.751
PANISSOS_BIS_a,63.323,147,97,63,70.42,10.503,23.275
PANISSOS_BIS_a,63.393,158,105,67,72.679,10.184,24.551
PANISSOS_BIS_a,63.463,151,101,65,71.494,9.843,23.803
PANISSOS_BIS_a,63.533,141,94,60,69.446,9.664,23.611
PANISSOS_BIS_a,63.603,151,101,66,71.497,10.049,23.17
PANISSOS_BIS_a,63.673,156,107,71,73.019,9.19,22.659
PANISSOS_BIS_a,63.743,163,113,76,74.579,9.013,22.356
PANISSOS_BIS_a,63.813,175,127,89,77.851,7.632,20.794
PANISSOS_BIS_a,63.883,178,132,91,78.908,6.34,21.557
PANISSOS_BIS_a,63.953,171,123,84,76.913,7.596,21.85
PANISSOS_BIS_a,64.024,164,118,81,75.635,7.556,21.318
PANISSOS_BIS_a,64.094,166,120,84,76.121,7.668,20.502
PANISSOS_BIS_a,64.164,164,120,82,76.031,6.676,21.438
PANISSOS_BIS_a,64.234,152,111,78,73.69,7.032,19.688
PANISSOS_BIS_a,64.304,151,110,79,73.441,7.473,18.699
PANISSOS_BIS_a,64.374,152,111,79,73.692,7.232,19.127
PANISSOS_BIS_a,64.444,148,108,78,72.885,7.432,18.318
PANISSOS_BIS_a,64.514,145,111,84,73.392,5.962,15.848
PANISSOS_BIS_a,64.584,147,116,89,74.52,4.838,15.109
PANISSOS_BIS_a,64.654,139,108,84,72.491,5.68,14.31
PANISSOS_BIS_a,64.724,140,104,78,71.665,7.094,16.237
PANISSOS_BIS_a,64.794,143,105,77,72.016,7.307,17.409
PANISSOS_BIS_a,64.864,148,107,78,72.675,8.006,17.961
PANISSOS_BIS_a,64.934,146,105,76,72.153,8.098,18.22
PANISSOS_BIS_a,65.004,144,105,76,72.06,7.434,18.06
PANISSOS_BIS_a,65.074,141,102,74,71.266,7.777,17.877
PANISSOS_BIS_a,65.144,140,100,72,70.775,8.212,18.231
PANISSOS_BIS_a,65.214,144,104,75,71.843,7.812,18.273
PANISSOS_BIS_a,65.284,142,103,75,71.533,7.731,17.745
PANISSOS_BIS_a,65.354,137,100,73,70.634,7.397,17.391
PANISSOS_BIS_a,65.424,146,105,76,72.153,8.098,18.22
PANISSOS_BIS_a,65.495,150,109,77,73.182,7.313,19.396
PANISSOS_BIS_a,65.565,136,99,73,70.365,7.657,16.932
PANISSOS_BIS_a,65.635,143,105,79,72.022,7.721,16.282
PANISSOS_BIS_a,65.705,145,106,80,72.331,8.007,16.246
PANISSOS_BIS_a,65.775,148,108,79,72.888,7.635,17.757
PANISSOS_BIS_a,65.845,152,110,81,73.491,8.194,17.667
PANISSOS_BIS_a,65.915,146,105,76,72.153,8.098,18.22
PANISSOS_BIS_a,65.985,145,102,72,71.449,8.704,19.38
PANISSOS_BIS_a,66.055,143,102,71,71.352,7.823,19.815
PANISSOS_BIS_a,66.125,137,99,70,70.404,7.36,18.808
PANISSOS_BIS_a,66.195,145,104,72,71.881,7.525,20.112
PANISSOS_BIS_a,66.265,145,104,74,71.886,7.939,18.934
PANISSOS_BIS_a,66.335,150,107,76,72.76,8.254,19.256
PANISSOS_BIS_a,66.405,146,105,76,72.153,8.098,18.22
PANISSOS_BIS_a,66.475,144,104,75,71.843,7.812,18.273
PANISSOS_BIS_a,66.545,142,103,75,71.533,7.731,17.745
PANISSOS_BIS_a,66.615,138,100,75,70.688,8.166,16.306
PANISSOS_BIS_a,66.685,144,104,76,71.846,8.019,17.696
PANISSOS_BIS_a,66.755,144,105,79,72.069,8.053,16.362
PANISSOS_BIS_a,66.825,148,107,79,72.677,8.209,17.4
PANISSOS_BIS_a,66.895,143,102,75,71.364,8.659,17.458
PANISSOS_BIS_a,66.966,142,102,76,71.319,8.532,16.801
PANISSOS_BIS_a,67.036,136,101,76,70.816,7.091,15.939
PANISSOS_BIS_a,67.106,123,92,71,68.117,6.953,14.301
PANISSOS_BIS_a,67.176,108,79,61,64.086,7.575,13.802
PANISSOS_BIS_a,67.246,108,76,59,63.296,9.224,13.815
PANISSOS_BIS_a,67.316,122,86,65,66.615,9.126,15.489
PANISSOS_BIS_a,67.386,130,93,70,68.7,8.619,15.908
PANISSOS_BIS_a,67.456,137,98,72,70.187,8.397,17.229
PANISSOS_BIS_a,67.526,131,94,70,68.981,8.343,16.385
PANISSOS_BIS_a,67.596,139,99,70,70.5,8.049,18.974
PANISSOS_BIS_a,67.666,146,106,75,72.363,7.312,19.157
PANISSOS_BIS_a,67.736,143,103,74,71.577,7.858,18.407
PANISSOS_BIS_a,67.806,148,107,75,72.666,7.396,19.674
PANISSOS_BIS_a,67.876,152,108,75,73.058,8.129,20.345
PANISSOS_BIS_a,67.946,149,107,75,72.712,7.724,19.753
PANISSOS_BIS_a,68.016,153,107,74,72.892,8.825,20.649
PANISSOS_BIS_a,68.086,147,103,71,71.756,8.572,20.506
PANISSOS_BIS_a,68.156,143,99,69,70.689,9.201,19.913
PANISSOS_BIS_a,68.226,150,103,71,71.896,9.564,20.747
PANISSOS_BIS_a,68.296,159,111,75,73.993,8.675,21.938
PANISSOS_BIS_a,68.366,155,109,75,73.402,8.528,20.931
PANISSOS_BIS_a,68.437,149,102,70,71.631,9.619,20.904
PANISSOS_BIS_a,68.507,152,104,71,72.203,9.632,21.269
PANISSOS_BIS_a,68.577,152,106,73,72.633,8.875,20.8
PANISSOS_BIS_a,68.647,150,106,74,72.544,8.425,20.055
PANISSOS_BIS_a,68.717,149,105,74,72.286,8.677,19.616
PANISSOS_BIS_a,68.787,150,107,75,72.758,8.051,19.832
PANISSOS_BIS_a,68.857,150,108,75,72.968,7.478,20.188
PANISSOS_BIS_a,68.927,147,105,74,72.193,8.018,19.457
PANISSOS_BIS_a,68.997,149,106,74,72.498,8.097,19.976
PANISSOS_BIS_a,69.067,153,109,76,73.315,8.084,20.2
PANISSOS_BIS_a,69.137,159,113,77,74.407,7.953,21.483
PANISSOS_BIS_a,69.207,140,102,69,71.205,6.382,20.783
PANISSOS_BIS_a,69.277,135,97,68,69.854,7.451,19.106
PANISSOS_BIS_a,69.347,138,96,68,69.775,9.111,18.976
PANISSOS_BIS_a,69.417,149,102,69,71.628,9.413,21.513
PANISSOS_BIS_a,69.487,144,100,67,70.951,8.515,21.603
PANISSOS_BIS_a,69.557,138,97,65,69.991,7.849,21.238
PANISSOS_BIS_a,69.627,137,96,64,69.714,7.898,21.412
PANISSOS_BIS_a,69.697,131,91,64,68.267,8.915,18.951
PANISSOS_BIS_a,69.767,130,91,63,68.214,8.332,19.51
PANISSOS_BIS_a,69.837,123,84,58,66.156,9.21,19.378
PANISSOS_BIS_a,69.908,122,83,58,65.856,9.511,18.868
PANISSOS_BIS_a,69.978,126,88,61,67.293,8.362,19.268
PANISSOS_BIS_a,70.048,123,83,59,65.913,10.122,18.278
PANISSOS_BIS_a,70.118,127,85,58,66.612,10.026,20.158
PANISSOS_BIS_a,70.188,122,82,56,65.601,9.722,19.837
PANISSOS_BIS_a,70.258,125,85,59,66.51,9.517,19.293
PANISSOS_BIS_a,70.328,129,89,62,67.689,9.034,19.278
PANISSOS_BIS_a,70.398,130,89,63,67.743,9.622,18.713
