CoreID,Sample,Red,Green,Blue,l,a,b
SECANELLA_a,90.011,171,129,95,78.079,6.525,18.12
SECANELLA_a,90.081,170,129,95,78.038,6.229,18.05
SECANELLA_a,90.151,165,126,94,77.263,6.09,17.23
SECANELLA_a,90.221,164,126,94,77.222,5.788,17.159
SECANELLA_a,90.291,162,123,91,76.554,6.182,17.546
SECANELLA_a,90.361,162,123,91,76.554,6.182,17.546
SECANELLA_a,90.431,164,123,91,76.638,6.791,17.69
SECANELLA_a,90.502,165,125,92,77.067,6.236,17.908
SECANELLA_a,90.572,166,126,95,77.307,6.576,16.805
SECANELLA_a,90.642,167,126,94,77.346,6.691,17.372
SECANELLA_a,90.712,165,125,91,77.065,6.049,18.415
SECANELLA_a,90.782,169,127,91,77.611,6.22,19.346
SECANELLA_a,90.852,168,126,91,77.38,6.435,18.953
SECANELLA_a,90.922,164,123,88,76.631,6.227,19.233
SECANELLA_a,90.992,164,123,88,76.631,6.227,19.233
SECANELLA_a,91.062,164,121,85,76.234,6.715,20.153
SECANELLA_a,91.132,163,120,85,75.997,6.939,19.749
SECANELLA_a,91.202,163,120,85,75.997,6.939,19.749
SECANELLA_a,91.272,164,122,88,76.437,6.753,18.905
SECANELLA_a,91.342,161,120,87,75.917,6.704,18.546
SECANELLA_a,91.412,159,118,84,75.429,6.581,19.319
SECANELLA_a,91.482,160,120,86,75.872,6.204,18.998
SECANELLA_a,91.552,163,122,88,76.395,6.447,18.832
SECANELLA_a,91.622,163,122,87,76.392,6.258,19.354
SECANELLA_a,91.692,161,121,88,76.115,6.363,18.356
SECANELLA_a,91.762,160,120,87,75.874,6.395,18.472
SECANELLA_a,91.832,157,116,82,74.938,6.651,19.575
SECANELLA_a,91.902,157,116,81,74.935,6.456,20.122
SECANELLA_a,91.973,157,115,80,74.731,6.807,20.333
SECANELLA_a,92.043,157,115,80,74.731,6.807,20.333
SECANELLA_a,92.113,159,117,80,75.219,6.348,21.163
SECANELLA_a,92.183,166,123,86,76.709,6.46,20.426
SECANELLA_a,92.253,166,124,88,76.907,6.312,19.704
SECANELLA_a,92.323,164,122,88,76.437,6.753,18.905
SECANELLA_a,92.393,167,125,89,77.143,6.281,19.583
SECANELLA_a,92.463,163,123,87,76.586,5.733,19.683
SECANELLA_a,92.533,159,118,83,75.426,6.388,19.858
SECANELLA_a,92.603,159,118,83,75.426,6.388,19.858
SECANELLA_a,92.673,163,121,85,76.192,6.408,20.08
SECANELLA_a,92.743,164,122,86,76.432,6.376,19.953
SECANELLA_a,92.813,167,125,88,77.14,6.095,20.101
SECANELLA_a,92.883,166,124,87,76.904,6.125,20.226
SECANELLA_a,92.953,164,121,83,76.229,6.336,21.226
SECANELLA_a,93.023,165,122,83,76.466,6.115,21.629
SECANELLA_a,93.093,167,122,85,76.555,7.101,20.701
SECANELLA_a,93.163,168,124,86,76.985,6.544,20.896
SECANELLA_a,93.233,166,123,85,76.707,6.272,20.956
SECANELLA_a,93.303,162,120,84,75.951,6.441,20.21
SECANELLA_a,93.373,160,119,84,75.669,6.355,19.729
SECANELLA_a,93.444,164,121,84,76.232,6.525,20.688
SECANELLA_a,93.514,166,122,84,76.511,6.609,21.162
SECANELLA_a,93.584,165,121,84,76.274,6.832,20.76
SECANELLA_a,93.654,166,121,84,76.316,7.137,20.833
SECANELLA_a,93.724,167,122,85,76.555,7.101,20.701
SECANELLA_a,93.794,165,122,85,76.471,6.492,20.556
SECANELLA_a,93.864,166,122,86,76.516,6.986,20.098
SECANELLA_a,93.934,170,125,88,77.264,6.997,20.315
SECANELLA_a,94.004,169,126,89,77.416,6.365,20.049
SECANELLA_a,94.074,167,123,87,76.753,6.951,19.972
SECANELLA_a,94.144,166,122,87,76.518,7.173,19.572
SECANELLA_a,94.214,168,125,88,77.181,6.396,20.173
SECANELLA_a,94.284,168,125,88,77.181,6.396,20.173
SECANELLA_a,94.354,170,125,87,77.262,6.811,20.837
SECANELLA_a,94.424,171,126,88,77.496,6.778,20.709
SECANELLA_a,94.494,170,126,88,77.455,6.479,20.638
SECANELLA_a,94.564,166,124,86,76.902,5.937,20.752
SECANELLA_a,94.634,155,115,78,74.639,5.779,21.3
SECANELLA_a,94.704,150,109,75,73.177,6.909,20.543
SECANELLA_a,94.774,152,111,76,73.684,6.632,20.825
SECANELLA_a,94.844,150,110,75,73.385,6.343,20.895
SECANELLA_a,94.915,148,109,75,73.086,6.253,20.386
SECANELLA_a,94.985,142,105,73,71.959,6.14,19.644
SECANELLA_a,95.055,140,103,72,71.431,6.424,19.343
SECANELLA_a,95.125,139,103,72,71.384,6.083,19.262
SECANELLA_a,95.195,138,102,71,71.116,6.119,19.408
SECANELLA_a,95.265,141,104,72,71.694,6.177,19.791
SECANELLA_a,95.335,148,109,76,73.089,6.456,19.811
SECANELLA_a,95.405,153,114,79,74.351,5.885,20.244
SECANELLA_a,95.475,157,117,81,75.135,5.912,20.462
SECANELLA_a,95.545,158,117,81,75.179,6.228,20.536
SECANELLA_a,95.615,156,114,78,74.48,6.647,21.033
SECANELLA_a,95.685,156,114,78,74.48,6.647,21.033
SECANELLA_a,95.755,156,117,82,75.095,5.791,19.84
SECANELLA_a,95.825,155,116,82,74.851,6.018,19.425
SECANELLA_a,95.895,154,115,82,74.606,6.247,19.008
SECANELLA_a,95.965,155,114,80,74.442,6.722,19.84
SECANELLA_a,96.035,156,115,80,74.688,6.49,20.258
SECANELLA_a,96.105,154,114,79,74.395,6.206,20.32
SECANELLA_a,96.175,151,112,78,73.851,6.15,19.96
SECANELLA_a,96.245,151,112,80,73.856,6.549,18.842
SECANELLA_a,96.315,153,113,82,74.155,7.032,18.243
SECANELLA_a,96.386,164,122,87,76.434,6.564,19.427
SECANELLA_a,96.456,167,125,90,77.145,6.467,19.069
SECANELLA_a,96.526,167,127,92,77.531,5.805,18.697
SECANELLA_a,96.596,164,125,90,77.021,5.559,18.854
SECANELLA_a,96.666,166,125,89,77.101,5.979,19.511
SECANELLA_a,96.736,174,133,96,78.945,5.573,19.096
SECANELLA_a,96.806,175,134,98,79.173,5.727,18.501
SECANELLA_a,96.876,179,137,99,79.879,5.582,19.216
SECANELLA_a,96.946,180,138,99,80.098,5.381,19.588
SECANELLA_a,97.016,177,135,97,79.433,5.633,19.433
SECANELLA_a,97.086,176,133,96,79.025,6.156,19.233
SECANELLA_a,97.156,175,132,94,78.796,6.005,19.841
SECANELLA_a,97.226,176,132,93,78.833,6.117,20.409
SECANELLA_a,97.296,178,135,96,79.47,5.744,19.99
SECANELLA_a,97.366,179,135,96,79.509,6.032,20.058
SECANELLA_a,97.436,178,134,95,79.285,6.06,20.174
SECANELLA_a,97.506,176,132,93,78.833,6.117,20.409
SECANELLA_a,97.576,177,133,93,79.057,5.909,20.79
SECANELLA_a,97.646,174,131,91,78.563,5.671,20.967
SECANELLA_a,97.716,173,130,90,78.334,5.698,21.093
SECANELLA_a,97.786,171,127,89,77.688,6.448,20.512
SECANELLA_a,97.857,172,128,89,77.917,6.234,20.902
SECANELLA_a,97.927,172,128,90,77.919,6.417,20.388
SECANELLA_a,97.997,171,128,90,77.879,6.12,20.317
SECANELLA_a,98.067,174,131,93,78.568,6.033,19.957
SECANELLA_a,98.137,177,136,99,79.619,5.497,18.773
SECANELLA_a,98.207,177,136,98,79.617,5.319,19.256
SECANELLA_a,98.277,178,138,102,80.027,5.337,18.026
SECANELLA_a,98.347,179,140,104,80.429,5.005,17.764
SECANELLA_a,98.417,183,148,113,82.006,3.897,16.337
SECANELLA_a,98.487,182,147,113,81.795,4.085,15.978
SECANELLA_a,98.557,179,144,111,81.154,4.311,15.779
SECANELLA_a,98.627,177,141,108,80.539,4.654,16.095
SECANELLA_a,98.697,179,144,111,81.154,4.311,15.779
SECANELLA_a,98.767,182,149,118,82.153,4.006,14.395
SECANELLA_a,98.837,182,148,118,81.98,4.471,14.102
SECANELLA_a,98.907,188,153,121,83.064,4.316,14.664
SECANELLA_a,98.977,189,154,121,83.269,4.132,15.013
SECANELLA_a,99.047,182,149,118,82.153,4.006,14.395
SECANELLA_a,99.117,177,145,113,81.258,3.62,15.06
SECANELLA_a,99.187,179,146,113,81.508,3.713,15.488
SECANELLA_a,99.257,181,151,118,82.459,2.805,14.914
SECANELLA_a,99.328,179,148,116,81.863,3.294,14.769
SECANELLA_a,99.398,180,150,120,82.255,3.328,13.708
SECANELLA_a,99.468,181,152,123,82.641,3.193,13.095
SECANELLA_a,99.538,184,155,129,83.273,3.653,11.69
SECANELLA_a,99.608,185,157,131,83.649,3.353,11.521
SECANELLA_a,99.678,189,163,137,84.796,2.745,11.093
SECANELLA_a,99.748,191,165,138,85.194,2.562,11.381
SECANELLA_a,99.818,183,158,131,83.743,2.364,11.68
SECANELLA_a,99.888,173,149,123,81.827,2.345,11.704
SECANELLA_a,99.958,163,138,112,79.463,2.759,12.443
SECANELLA_a,100.028,168,140,114,80.026,3.608,12.515
SECANELLA_a,100.098,171,143,114,80.678,3.033,13.626
SECANELLA_a,100.168,159,133,106,78.368,2.942,13.311
SECANELLA_a,100.238,156,128,104,77.298,4.195,12.425
SECANELLA_a,100.308,173,143,116,80.759,3.956,12.888
SECANELLA_a,100.378,175,144,118,81.017,4.395,12.46
SECANELLA_a,100.448,172,139,111,79.994,4.717,13.804
SECANELLA_a,100.518,167,134,104,78.869,4.465,15.104
