depth	min	max	median	mean
0	-337	-126	-268	-258
1	-329	-115	-258	-248
2	-324	-104	-247	-237
3	-321	-89	-237	-227
4	-318	-67	-227	-217
5	-315	-45	-218	-207
6	-306	-35	-207	-197
7	-299	-22	-197	-187
8	-294	-10	-187	-177
9	-289	8	-177	-167
10	-286	29	-167	-156
11	-278	39	-157	-147
12	-272	50	-147	-137
13	-266	64	-136	-127
14	-261	81	-127	-117
15	-257	101	-117	-107
16	-248	109	-107	-97
17	-242	123	-96	-87
18	-236	135	-86	-77
19	-231	150	-76	-67
20	-226	170	-66	-57
21	-216	179	-56	-47
22	-207	194	-47	-37
23	-200	206	-37	-26
24	-193	217	-26	-16
25	-188	234	-16	-6
26	-179	246	-7	4
27	-171	258	4	15
28	-164	270	15	25
29	-157	284	25	35
30	-153	300	34	45
31	-143	309	44	55
32	-134	321	54	65
33	-127	334	64	75
34	-121	352	73	85
35	-116	367	83	95
36	-109	378	93	105
37	-102	392	102	115
38	-92	407	113	125
39	-85	423	123	135
40	-79	439	133	145
41	-71	446	143	155
42	-64	459	153	165
43	-57	470	163	175
44	-51	483	173	185
45	-46	494	183	195
46	-37	505	193	205
47	-27	515	204	216
48	-20	529	215	226
49	-11	543	225	236
50	-4	559	236	246
51	6	569	245	256
52	15	579	255	266
53	22	593	265	276
54	30	605	275	286
55	36	620	285	296
56	45	629	294	306
57	54	639	304	316
58	62	651	313	326
59	68	666	324	335
60	75	679	333	345
61	84	691	343	355
62	93	704	354	365
63	101	717	364	375
64	110	733	374	385
65	118	744	383	395
66	127	755	393	405
67	135	767	404	415
68	141	779	413	425
69	147	789	424	435
70	156	804	433	445
71	163	812	443	455
72	172	822	453	465
73	177	834	463	475
74	185	847	473	485
75	192	861	482	495
76	203	872	491	505
77	212	885	501	515
78	220	896	511	525
79	228	906	520	535
80	235	920	530	545
81	246	928	539	555
82	254	938	550	565
83	263	950	561	575
84	271	962	572	585
85	279	980	583	595
86	288	988	592	605
87	296	1002	601	615
88	303	1016	612	625
89	311	1024	621	635
90	318	1036	632	645
91	326	1044	642	656
92	335	1055	651	666
93	343	1067	662	676
94	350	1081	672	686
95	358	1096	683	696
96	364	1107	692	706
97	372	1118	703	716
98	381	1127	713	726
99	389	1138	723	736
100	396	1149	733	746
101	407	1161	743	756
102	417	1172	754	766
103	426	1186	764	776
104	432	1195	774	786
105	439	1210	783	796
106	447	1220	793	805
107	456	1230	804	815
108	465	1241	814	825
109	473	1249	823	834
110	481	1264	833	844
111	489	1274	842	854
112	500	1289	853	864
113	507	1300	863	874
114	515	1309	872	884
115	521	1326	881	895
116	530	1335	891	905
117	539	1345	902	915
118	549	1356	913	925
119	556	1371	924	935
120	565	1384	933	946
121	573	1394	944	956
122	581	1405	954	966
123	591	1416	963	976
