depth	min	max	median	mean
0	-72	-66	-69	-69
1	-64	247	9	29
2	-58	564	86	127
3	-53	880	164	224
4	-47	1196	241	322
5	-42	1511	319	420
6	8	1595	424	516
7	38	1667	524	612
8	56	1804	622	707
9	75	1952	713	803
10	95	2149	800	899
11	157	2208	902	990
12	199	2319	998	1082
13	227	2477	1093	1173
14	248	2677	1187	1265
15	263	2859	1272	1356
16	332	2939	1384	1454
17	375	3050	1495	1551
18	411	3176	1601	1649
19	452	3309	1705	1746
20	496	3499	1803	1844
21	574	3599	1888	1933
22	625	3697	1976	2022
23	678	3814	2069	2111
24	711	3944	2158	2200
25	760	4095	2246	2289
26	830	4157	2347	2387
27	883	4233	2468	2486
28	917	4337	2576	2584
29	946	4456	2675	2682
30	969	4595	2778	2780
31	1034	4672	2866	2867
32	1088	4739	2975	2955
33	1141	4818	3078	3042
34	1180	4920	3174	3130
35	1206	5037	3262	3217
36	1389	5110	3410	3370
37	1494	5224	3575	3522
38	1511	5318	3750	3675
39	1536	5466	3905	3827
40	1578	5654	4056	3979
41	2024	5750	4292	4205
42	2285	5856	4525	4430
43	2526	5973	4781	4656
44	2757	6102	5033	4881
45	2922	6309	5262	5107
46	3578	6339	5440	5321
47	4217	6381	5623	5535
48	4835	6434	5812	5750
49	5245	6505	6002	5964
50	5441	6633	6225	6179
51	5752	6678	6307	6282
52	6054	6738	6385	6386
53	6283	6823	6470	6489
54	6364	6943	6571	6593
55	6403	7168	6662	6697
56	6471	7208	6730	6761
57	6514	7258	6803	6825
58	6541	7323	6874	6889
59	6569	7410	6941	6953
60	6589	7530	7002	7017
61	6658	7554	7064	7074
62	6704	7593	7125	7132
63	6734	7641	7189	7189
64	6761	7695	7252	7247
65	6790	7773	7315	7304
66	6894	7799	7369	7365
67	6993	7831	7427	7425
68	7074	7868	7491	7486
69	7127	7906	7560	7547
70	7172	7968	7625	7607
71	7344	8003	7685	7679
72	7501	8044	7747	7752
73	7611	8104	7819	7824
74	7661	8186	7888	7896
75	7699	8334	7951	7968
76	7814	8489	8088	8105
77	7877	8797	8209	8242
78	7910	9164	8323	8379
79	7937	9546	8437	8515
80	7963	9924	8551	8652
81	8089	10071	8695	8796
82	8162	10222	8840	8940
83	8220	10430	8999	9084
84	8270	10660	9147	9227
85	8320	10932	9291	9371
86	8462	11042	9451	9527
87	8555	11157	9605	9683
88	8647	11374	9774	9839
89	8700	11556	9938	9995
90	8757	11867	10089	10150
91	8926	11946	10251	10305
92	9047	12052	10418	10460
93	9150	12174	10594	10614
94	9237	12336	10762	10769
95	9326	12523	10932	10923
96	9503	12598	11069	11069
97	9634	12674	11230	11215
98	9736	12782	11393	11361
99	9833	12927	11560	11507
100	9898	13093	11721	11653
101	10176	13149	11873	11823
102	10395	13227	12060	11992
103	10509	13292	12251	12162
104	10612	13397	12443	12331
105	10740	13532	12634	12501
106	11060	13570	12782	12665
107	11340	13620	12930	12828
108	11501	13680	13088	12992
109	11617	13761	13256	13155
110	11773	13894	13444	13319
111	11851	13930	13522	13411
112	11957	13975	13596	13503
113	12045	14053	13686	13595
114	12123	14175	13779	13687
115	12214	14334	13852	13779
116	12274	14399	13907	13833
117	12350	14474	13968	13887
118	12419	14569	14016	13941
119	12460	14679	14062	13995
120	12518	14813	14106	14049
121	12576	14862	14160	14101
122	12644	14947	14216	14154
123	12710	15029	14268	14206
124	12753	15137	14318	14259
125	12808	15269	14363	14311
126	12868	15323	14413	14360
127	12936	15390	14462	14410
128	12988	15463	14510	14459
129	13064	15546	14555	14509
130	13128	15644	14597	14558
131	13168	15717	14642	14607
132	13211	15797	14695	14656
133	13255	15902	14744	14704
134	13306	15982	14794	14753
135	13353	16081	14844	14802
136	13429	16165	14908	14869
137	13493	16250	14973	14937
138	13556	16343	15039	15005
139	13602	16478	15099	15073
140	13648	16612	15155	15140
141	13736	16722	15250	15235
142	13810	16818	15340	15329
143	13875	16927	15433	15423
144	13933	17062	15517	15517
145	13979	17237	15599	15612
146	14072	17334	15692	15711
147	14164	17443	15791	15809
148	14236	17596	15885	15908
149	14313	17785	15983	16007
150	14360	17973	16075	16106
151	14440	18098	16185	16206
152	14517	18223	16268	16307
153	14590	18361	16357	16407
154	14649	18568	16452	16507
155	14722	18748	16543	16608
156	14810	18857	16648	16712
157	14918	19002	16741	16816
158	15003	19142	16845	16919
159	15066	19329	16944	17023
160	15156	19488	17052	17127
161	15246	19630	17152	17227
162	15335	19758	17238	17327
163	15408	19874	17343	17427
164	15482	20108	17434	17526
165	15526	20258	17531	17626
166	15638	20322	17638	17728
167	15726	20419	17742	17829
168	15788	20505	17851	17931
169	15890	20595	17952	18032
170	15950	20701	18055	18134
171	16047	20823	18152	18232
172	16118	20932	18245	18330
173	16174	21069	18340	18428
174	16243	21225	18435	18526
175	16296	21348	18522	18623
176	16401	21446	18631	18725
177	16506	21570	18735	18827
178	16569	21675	18836	18928
179	16619	21831	18937	19030
180	16698	21969	19030	19131
181	16766	22041	19127	19230
182	16857	22139	19233	19329
183	16951	22268	19342	19428
184	17049	22396	19440	19527
185	17119	22559	19533	19626
186	17208	22632	19644	19730
187	17318	22761	19740	19834
188	17393	22917	19849	19938
189	17458	23069	19939	20042
190	17532	23202	20042	20146
191	17635	23305	20147	20246
192	17727	23442	20253	20346
193	17786	23603	20346	20447
194	17848	23765	20440	20547
195	17925	23885	20535	20647
196	18021	24006	20639	20748
197	18094	24139	20744	20849
198	18166	24248	20832	20950
199	18240	24378	20939	21051
200	18326	24526	21044	21152
201	18439	24656	21151	21254
202	18528	24728	21265	21357
203	18631	24853	21376	21459
204	18710	24964	21473	21562
205	18779	25140	21570	21664
206	18861	25203	21668	21762
207	18960	25388	21765	21861
208	19027	25526	21860	21959
209	19090	25640	21955	22057
210	19172	25738	22049	22155
211	19278	25874	22137	22256
212	19365	26004	22245	22357
213	19418	26099	22355	22458
214	19495	26213	22451	22560
215	19573	26344	22540	22661
216	19658	26444	22645	22760
217	19781	26556	22744	22858
218	19892	26708	22844	22957
219	19938	26824	22938	23056
220	20013	26936	23033	23155
221	20105	27047	23137	23259
222	20196	27172	23255	23362
