CoreID,Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
ENCANYISSADAa,50,1,1.3,358,64,6,11113,131,3.2,-287,84,3.1,12641,179,1.6,3024,2575,2.7,-3653,455,2.8,9715,175,2.7,145714,568,0.9,2555,128,0.7,550,127,0.9,553,142,0.7,1059,142,2.8,37396,283,2.2,55786,4820,2.2,-357,4141,2.9,600,40,0.4,243,28,0.7,891,40,0.6,30,28,0,-413,1,0.4,0,28,0.8,5564,83,0.7,1833,77,0.9,40735,213,0.6,604,97,1.2,2296,153,0.4,438,162,0.6,738,204,1.3,28210,356,0.8,75797,550,0.5,115,23,1.3,3519,52
ENCANYISSADAa,60,1,0.9,652,65,5.4,13064,136,1.5,-89,80,2,10994,171,1.2,1303,2493,3.4,-3831,458,4.2,10246,178,3,140617,553,0.7,2746,130,0.3,452,129,0.8,508,142,0.6,903,140,3,41165,286,1.5,46528,4640,1.6,5888,3872,1.1,701,39,1.1,239,27,0.8,718,37,1,103,28,0,7,1,0.3,8,28,1.4,5391,82,1.1,2522,82,1.6,32224,198,0.4,777,98,0.7,2740,152,0.7,564,160,0.4,705,200,1.2,28988,364,0.8,72451,620,0.8,153,26,0.6,2596,47
ENCANYISSADAa,70,1,1.1,2242,84,5.6,27326,186,2.3,91,92,6.2,10811,154,2.9,14386,381,6.1,-6016,476,8.6,25800,237,4,229361,689,0.6,7100,166,0.4,540,156,0.3,383,166,0.3,1745,172,2.7,96521,386,0,-2609,1,3.7,43584,473,1.7,756,47,0.5,255,33,1.2,1056,46,0.7,203,33,0.5,624,121,0.6,22,32,1.4,7557,97,0.8,6108,108,0.7,43302,230,0.7,1028,121,1.1,5687,191,0.4,835,197,0.5,933,250,2,43154,464,1.3,115627,773,1.1,197,32,0.4,568,59
ENCANYISSADAa,80,1,1.2,1675,83,5.7,24222,179,2.6,10,94,8.2,11016,158,1.4,13957,414,6.5,-7940,498,9.6,25229,241,2.7,242267,719,0.7,7457,172,0.9,400,160,0.3,297,171,0.5,1630,177,2.2,95078,390,0,-3181,1,3.2,52843,518,2.1,845,47,0.6,356,34,0.9,1203,47,0.4,253,35,1.1,700,125,0.7,53,34,0.7,6373,90,0.8,6588,111,1.5,48150,241,0.4,1410,123,1.6,9153,203,0.6,978,198,0.5,770,250,2.1,45583,473,1.1,117951,783,0.6,179,32,1.5,647,60
ENCANYISSADAa,90,1,1.2,2469,88,6.4,30067,194,1.3,-71,91,4.3,11022,156,1.8,10719,380,4.9,-7538,490,10.1,29345,249,3.8,256219,726,1.1,8632,173,1.8,872,159,0.5,398,168,0.7,1857,174,2.6,93492,380,0,-2158,1,3.8,48477,484,1.4,885,48,1,425,35,1.1,1395,49,0.7,284,34,0.9,715,123,0.3,23,33,1.3,5745,87,1.5,7210,113,0.9,46672,237,0.6,1441,124,1.1,9160,201,0.7,828,198,0.3,403,251,2.3,45976,471,1.1,117509,781,0.5,223,32,0.9,606,60
ENCANYISSADAa,100,1,1.3,2025,83,5.2,25627,181,2.2,-47,89,5.7,12094,158,1.2,9856,376,5.2,-6547,488,10.1,27069,243,4.7,228715,689,0.6,8212,174,0.4,592,160,0.2,303,170,0.5,1507,176,2.5,109582,407,0,-2664,1,2.6,47863,479,1.6,822,47,0.7,346,35,1.3,1500,51,0.7,301,34,0.9,1456,129,0.5,87,33,1,4521,79,0.5,7013,112,1.1,41750,227,0.3,1462,124,0.8,7215,193,0.7,1093,197,0.6,875,251,1.7,44705,469,1.2,118248,780,0.9,239,31,0.8,654,62
ENCANYISSADAa,110,1,1.4,2307,88,6.1,29693,192,2.3,2,93,5.4,11390,157,1.1,7059,232,5.5,-7002,189,7.4,30387,250,4.3,279066,562,0.5,8680,172,1,602,156,0.4,828,161,0.6,1682,172,1.8,104055,376,0,-5487,1,2.3,50697,287,1.4,772,46,0.5,375,35,1.6,1425,50,0.5,274,34,1.1,1025,123,0.6,40,33,1.2,3807,74,0.9,6832,109,1,48719,241,0.6,1502,121,1.5,8142,197,0.5,1513,194,0.3,350,245,1.6,46672,467,1.5,111244,762,0.6,192,31,1.1,651,59
ENCANYISSADAa,120,1,1.6,2308,86,5.4,27644,188,2.3,-136,93,7.9,11740,160,2.2,5434,362,4.4,-7281,494,8.7,29411,252,4,275822,753,0.7,8385,175,0.1,412,160,0.8,518,169,0.4,1980,177,2.3,113514,406,0,-5421,1,3.5,50072,473,2,916,47,0.9,416,36,2.5,1494,51,0.7,275,34,1,1277,129,0.4,47,33,1,3918,75,0.6,6973,111,1.1,47184,238,0.8,1730,123,1.1,8325,199,0.3,446,198,0.5,701,252,2.4,46305,477,1.1,116754,780,0.7,240,32,1.1,642,61
ENCANYISSADAa,130,1,0.8,2074,86,5.8,27283,187,1.9,-106,92,10.8,13106,163,2.6,5390,360,6.2,-7048,492,8.4,27900,248,4.3,269792,744,0.7,8529,173,1.5,777,160,0.8,535,168,0.3,1724,177,2,116768,412,0,-5320,1,3.8,49955,471,2.2,829,46,0.8,353,35,1.2,1285,48,0.9,247,34,0.9,958,125,0.2,33,33,0.9,3478,71,0.6,6813,109,0.8,46768,237,0.6,1366,122,1,8307,197,0.6,836,195,0.6,555,249,2,46837,474,1.5,116119,774,0.9,174,32,0.9,564,60
ENCANYISSADAa,140,1,1.7,2302,87,5.6,29687,194,1.9,7,93,8.5,12571,161,2.4,4263,350,6,-6891,479,8.6,27103,243,4.5,276466,750,0.4,7768,168,0.4,646,156,0.7,444,164,0.5,1938,172,3.5,96726,381,0,-4949,1,4.4,49346,461,1.9,817,47,0.9,330,35,1.6,1325,48,1.2,277,34,1,921,122,0.7,51,33,0.9,3500,71,0.6,6731,109,0.9,49299,243,1.1,1489,121,0.6,8528,197,0.4,1197,193,0.3,681,245,1.7,45710,467,1.3,112017,766,0.7,203,31,0.9,456,60
