CoreID, Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
ERMSTANCADA_a,40,1,1.3,766,89,9.3,22273,181,2.4,-599,111,1.3,23989,211,0.9,151636,484,2.8,-4460,169,2.1,9944,172,3.5,214218,487,0.5,3091,126,0.7,326,124,0.7,-161,129,0.2,801,137,2.6,38348,247,1.3,68763,292,1.1,-10768,408,1.3,614,38,0.9,184,26,0.9,742,37,0.8,95,29,0,-392,1,1.1,41,27,1.3,15048,126,1,2543,85,1.7,39268,207,0.6,831,94,1.4,8306,165,0.5,444,148,0.3,515,185,1.9,34286,350,0.9,59065,511,0.5,115,23,1.1,2958,49
ERMSTANCADA_a,50,1,1.4,1343,89,6.7,25542,189,2.6,-213,106,1.9,11537,190,1.2,174230,2657,2.7,-5683,422,2.9,12630,182,2.7,200577,626,0.6,3610,132,1.3,515,129,0.8,-369,160,0.8,1167,140,2.3,49905,333,1.2,59521,2327,1.3,-2636,2278,1.3,458,37,1,192,27,1.2,860,39,0.9,68,28,0,-320,1,0.5,20,28,2.7,19151,141,0.9,3065,92,2.5,31333,188,0.5,1377,97,1,6675,156,0.5,800,150,0.8,595,190,1.7,35789,358,1.2,61524,518,0.7,144,24,1.9,3153,50
ERMSTANCADA_a,60,1,0.9,1293,83,7.7,24503,181,1.4,-285,94,1.3,7591,163,0.8,100316,2168,2.8,-3916,392,2.8,11025,172,3.1,170206,582,0.5,2748,121,0.8,276,119,0.4,166,152,0.5,982,130,3.1,41548,307,0.9,55669,2056,1,-2155,1999,1.5,520,36,0.6,149,24,0.7,585,34,0.6,74,27,0,-127,1,0.4,9,25,1.5,10882,111,1.1,2446,81,1.5,21885,162,0.7,851,87,1.1,6002,145,0.9,628,135,0.4,417,170,0.8,27896,333,0.7,49541,545,0.5,96,24,1.1,2519,46
ERMSTANCADA_a,70,1,1.7,2462,101,9.1,37896,222,3.5,-301,109,1.5,7471,176,0.9,144358,2445,3.2,-6708,427,1.8,21746,216,3.4,283892,739,0.7,5609,142,1.4,780,134,0.4,95,161,0.5,1214,148,2.7,68502,367,1,65162,2320,1.1,-1061,2221,1.7,608,39,0.3,162,27,0.8,700,38,0.7,148,29,0,179,1,0.3,20,29,1.1,9621,105,0.5,4270,95,1.6,29533,188,0.4,1298,101,2.1,12209,180,0.2,845,155,0.8,580,194,1,38638,390,1,63679,622,0.5,102,27,1.4,1502,40
ERMSTANCADA_a,80,1,0.9,3133,104,8.9,42183,230,3,-177,110,1.2,6061,155,2,133197,475,4,-7722,173,2.2,23378,221,3.6,298291,573,0.4,6338,146,0.9,698,134,0.9,45,139,0.5,1330,151,2.8,79556,330,1.8,72497,299,1.9,-872,411,1.5,603,40,0.4,169,28,1.2,721,39,0.6,156,31,1.2,462,122,0.5,64,30,1.7,8114,97,1.2,4279,94,0.5,30685,192,0.4,1382,102,1.2,12462,182,0.5,689,158,0.5,529,199,1,41773,401,1,66128,631,0.7,193,29,1.1,987,60
ERMSTANCADA_a,90,1,2,3197,104,7.4,43375,232,2.2,-220,107,0.7,5313,148,1.1,124384,447,2.6,-7465,169,1.8,24522,222,3.8,308692,582,0.6,6363,144,1.1,899,133,0.6,272,138,0.7,1374,149,3.3,76695,324,1.1,39315,290,1.1,19603,392,2,545,40,0.7,156,28,0.6,779,39,0.7,144,30,0.6,664,125,0.6,52,29,1.4,6897,92,1.3,4435,93,1.2,30543,192,0.7,1342,101,1,8222,169,0.5,784,157,0.6,839,200,1.1,41559,401,0.8,65915,634,0.5,126,28,0.5,875,61
ERMSTANCADA_a,100,1,1.6,3411,106,8.8,44491,235,2.1,3,109,0.6,5502,150,1.4,125759,452,4.6,-8731,177,4.6,25969,232,4.5,338854,609,0.2,6466,146,0.7,694,135,0.6,173,141,1.2,1577,153,2.8,85336,339,1.5,42154,295,1.6,19831,400,1.5,553,41,1.1,178,29,1,763,40,0.9,178,31,0.7,367,82,0.6,48,29,0.9,7675,95,0.4,4726,93,1.3,32003,191,0.7,1558,103,0.7,12967,182,0.3,931,159,0.3,227,200,1,41691,384,1,68855,548,0.7,120,25,0.5,1536,41
ERMSTANCADA_a,110,1,0.9,3477,107,8.5,44703,236,3.7,-462,112,0.8,5861,155,1,136146,470,3.3,-7677,182,4.1,27135,236,5.5,359161,627,0.5,7389,155,0.5,648,140,0.9,245,146,0.5,1295,157,3.8,84969,342,1.4,46184,307,1.5,19330,413,0.9,607,39,0.8,184,29,1.1,765,40,1,114,31,0.9,107,125,0.3,0,28,1,6742,90,0.6,4775,96,0.7,32551,196,0.7,1668,104,1.1,13151,187,0.8,945,161,0.4,761,203,1,43331,411,1,68496,641,0.4,164,29,0.9,1214,64
ERMSTANCADA_a,120,1,1.9,3652,105,10,49050,244,1.4,-358,105,0.8,4267,156,1.1,86415,2124,3.6,-8057,436,2.3,25812,232,4.4,356107,815,1.8,7229,150,0.7,567,136,0.8,455,154,0.5,1103,151,5.3,77313,358,1.5,51687,2171,1.7,16216,2022,1,512,42,0.9,186,29,1,726,39,0.7,147,31,1.3,438,120,0.7,31,28,1,4991,80,1.2,4724,94,0.5,31666,195,0.9,1607,104,1.5,9900,177,0.6,473,159,0.4,264,201,1.1,41554,405,1.1,66716,631,0.6,210,29,1.4,877,59
ERMSTANCADA_a,130,1,1,4379,106,10.3,53277,252,2.6,-264,104,1.3,2860,165,0.6,53031,3002,3.8,-7544,498,2.5,28036,239,6.2,369010,835,0.9,7108,148,0.8,601,134,0.8,241,150,0.5,1105,149,4.4,84159,361,1.1,76997,5775,1.1,-6786,4614,1.8,560,40,0.5,170,29,0.6,757,39,0.4,199,31,0.6,420,116,0.4,14,28,1.1,4275,76,1.1,4569,91,1,30820,192,0.6,1913,104,1.2,10883,177,0.5,742,156,0.5,416,196,1.1,39935,394,1.1,62943,618,0.4,150,29,0.6,820,58
