CoreID,Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
LLANADA1a,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLANADA1a,50,1,0.4,7108,119,12.9,64541,271,3.3,-63,102,2.4,5026,134,1.2,12689,237,6.1,-7011,183,7.4,45157,282,7.2,431075,686,0.8,11116,168,0.7,612,146,0.9,871,152,0.7,2954,167,3.3,128134,402,0,-3138,1,3.1,44296,282,2.3,650,42,0.6,348,32,1.1,1316,47,0.6,257,33,0.8,906,114,0.4,40,29,0.9,917,46,1.3,6594,103,0.9,33807,203,0.5,1648,110,1.5,9106,179,0.4,902,167,0.6,658,210,1.2,40749,412,0.9,77351,651,0.6,167,29,0.7,546,54
LLANADA1a,60,1,0.9,8202,127,12.2,72974,289,3.7,36,105,3.8,3579,130,1.5,13063,357,5.8,-7322,488,7.1,52621,302,10.5,484366,941,0.4,13181,180,0.4,715,154,1.2,699,165,0.9,2484,171,2.8,144971,435,0,-4919,1,2.9,46660,460,1.9,765,45,0.7,382,33,0.7,1384,48,0.8,346,35,1.1,911,121,0.8,71,31,0.8,1155,49,1,8977,115,1.1,43076,224,0.5,2261,115,1.5,10285,186,0.8,979,170,0.4,652,213,0.9,44347,427,1,79222,665,0.5,188,30,1.1,820,59
LLANADA1a,70,1,1.7,9635,134,12.3,80825,301,3.7,56,107,2.8,3261,130,0.7,12121,243,6.1,-7513,190,8.6,59637,314,8,505420,742,0.6,14739,182,0.9,1117,152,2,1414,157,0.6,3045,170,2.9,160644,444,0,-3982,1,2.3,49322,293,2,715,46,1.1,455,35,1.1,1493,50,0.5,314,35,1.4,1240,123,0.6,65,30,0.8,1361,51,1.6,9632,119,1,46385,232,0.7,2189,116,1.3,10428,189,0.5,897,171,0.3,677,214,1.4,45168,428,1.2,79076,665,0.7,186,30,1.4,725,59
LLANADA1a,80,1,1.2,7983,125,10.9,68524,279,3,-22,101,3.6,6446,139,1,11259,233,5.5,-7061,180,7.4,51889,294,6,428305,685,0.7,12417,171,1.1,675,145,1.6,1146,150,0.9,3206,165,2.6,144132,421,0,-2629,1,2.7,44367,278,2.8,685,43,0.7,333,34,1.3,1368,49,1.1,265,34,0.6,881,117,0.2,23,29,0.8,1102,48,0.6,8730,113,1.2,41910,221,0.7,2113,113,1.2,9537,182,0.6,1038,166,0.4,371,208,1,41821,414,1,74704,650,1,186,30,0.6,695,58
LLANADA1a,90,1,2.1,7643,122,8.6,65018,271,2.9,3,99,3.8,5970,137,1,10778,230,5.1,-6320,180,7.8,47626,285,4.7,402206,664,0.9,12001,172,1,695,146,0.9,930,152,0.3,2669,166,2,173706,457,0,-3083,1,2.5,43470,276,1.5,675,42,0.7,320,32,0.9,1286,46,0.5,322,33,1,2121,126,0.5,18,29,0.8,1113,48,0.5,7986,109,0.7,38520,213,0.7,1914,111,0.7,8741,178,0.6,860,165,0.4,430,207,1.5,40878,409,1.5,74818,648,0.8,239,30,1.1,656,57
LLANADA1a,100,1,1.5,7357,121,10.8,65641,272,2,-60,97,3.8,2996,121,1.1,10732,227,5.6,-7446,178,8.9,48031,285,5.2,422793,679,0.6,11404,167,0.4,499,142,0.8,1034,149,0.8,1871,159,3.5,132704,405,0,-3633,1,2.2,42879,273,2.1,672,43,0.8,300,31,1.3,1297,46,1.1,317,32,0.6,1082,116,0.6,48,28,0.4,1019,46,1.2,7565,107,0.7,38379,213,0.8,1849,109,1.1,8589,175,0.4,899,162,0.3,551,204,1.1,41121,406,0.8,72331,636,0.6,205,29,0.7,537,56
LLANADA1a,110,1,0.9,8626,127,12.9,71413,283,2.9,54,100,4,3006,122,1.7,9835,230,5.6,-7375,181,9.2,52338,296,6.1,448791,700,1,12859,172,0.8,603,145,0.9,804,150,0.7,2394,162,4.1,141407,417,0,-4639,1,3.2,46042,279,1.5,585,42,0.6,374,34,0.9,1379,49,0.5,271,34,0.6,840,118,0.4,37,29,0.5,1032,47,0.8,8751,113,1,41978,221,0.6,1781,110,1.7,9580,181,0.4,800,164,0.7,599,204,1.5,41403,408,0.9,73198,638,0.4,120,29,0.6,702,57
LLANADA1a,120,1,1.5,6811,115,9.6,58204,257,1.9,-304,94,2.4,2415,117,1.6,9628,224,4.8,-6676,175,7.2,43920,275,6.8,399784,661,0.9,11019,161,0.6,998,139,0.9,814,143,0.9,1986,155,3.1,124450,393,0,-3656,1,2.7,43632,271,1.2,640,43,0.7,323,32,1.4,1377,47,0.8,306,33,0.6,806,71,0.5,51,28,0.7,1166,47,0.9,8214,108,0.8,40403,212,0.5,2118,109,1.5,9386,175,0.9,1448,163,0.7,682,202,1.3,40441,385,0.9,72690,548,0.9,159,25,0.6,697,35
LLANADA1a,130,1,2.2,7862,125,12.2,68614,279,2.3,150,102,3.6,2725,124,0.9,10477,237,5.9,-8083,185,8.7,52553,297,6.1,445709,697,1.2,12759,174,0.8,719,147,1.3,1084,153,0.6,2355,164,1.9,150473,429,0,-4155,1,2.2,49242,288,1.9,784,44,0.6,396,33,1.3,1380,48,0.6,327,34,0.6,1201,119,0.6,58,29,0.7,1085,47,0.8,8875,114,0.9,43414,225,0.6,2141,114,1.1,9591,183,0.5,785,166,0.3,551,209,1.1,43719,419,1.2,77818,665,1.4,230,29,0.5,571,57
