CoreID, Sample,Section,Al-KaChi2,Al-KaArea,Al-KaAreaStd,Si-KaChi2,Si-KaArea,Si-KaAreaStd,P-KaChi2,P-KaArea,P-KaAreaStd,S-KaChi2,S-KaArea,S-KaAreaStd,Cl-KaChi2,Cl-KaArea,Cl-KaAreaStd,Ar-KaChi2,Ar-KaArea,Ar-KaAreaStd,K-KaChi2,K-KaArea,K-KaAreaStd,Ca-KaChi2,Ca-KaArea,Ca-KaAreaStd,Ti-KaChi2,Ti-KaArea,Ti-KaAreaStd,V-KaChi2,V-KaArea,V-KaAreaStd,Cr-KaChi2,Cr-KaArea,Cr-KaAreaStd,Mn-KaChi2,Mn-KaArea,Mn-KaAreaStd,Fe-KaChi2,Fe-KaArea,Fe-KaAreaStd,Rh-La-IncChi2,Rh-La-IncArea,Rh-La-IncAreaStd,Rh-La-CohChi2,Rh-La-CohArea,Rh-La-CohAreaStd,Ni-KaChi2,Ni-KaArea,Ni-KaAreaStd,Cu-KaChi2,Cu-KaArea,Cu-KaAreaStd,Zn-KaChi2,Zn-KaArea,Zn-KaAreaStd,Ga-KaChi2,Ga-KaArea,Ga-KaAreaStd,As-KbChi2,As-KbArea,As-KbAreaStd,Se-KaChi2,Se-KaArea,Se-KaAreaStd,Br-KaChi2,Br-KaArea,Br-KaAreaStd,Rb-KaChi2,Rb-KaArea,Rb-KaAreaStd,Sr-KaChi2,Sr-KaArea,Sr-KaAreaStd,Y-KaChi2,Y-KaArea,Y-KaAreaStd,Zr-KaChi2,Zr-KaArea,Zr-KaAreaStd,Nb-KaChi2,Nb-KaArea,Nb-KaAreaStd,Mo-KaChi2,Mo-KaArea,Mo-KaAreaStd,Rh-Ka-CohChi2,Rh-Ka-CohArea,Rh-Ka-CohAreaStd,Rh-Ka-IncChi2,Rh-Ka-IncArea,Rh-Ka-IncAreaStd,Au-LaChi2,Au-LaArea,Au-LaAreaStd,Pb-LaChi2,Pb-LaArea,Pb-LaAreaStd
 PANISSOS_BIS_a,60,1,1.8,6729,120,9.7,66941,277,3,409,112,4.6,6791,143,2.1,6161,213,3.3,-4029,179,5.1,39883,272,6.7,580630,790,0.6,9270,156,1.1,741,136,2,430,141,0.7,1711,150,4.2,94924,351,0,-5877,1,1.4,38292,260,1.1,581,41,0.6,350,32,2.7,1296,47,1.2,214,31,0.5,487,108,0.3,19,28,0.9,1463,51,1,5862,97,1,50695,238,1,1779,104,1.3,10356,183,0.5,806,155,0.4,679,193,1.2,40988,392,1.2,64148,607,0.5,161,28,0.5,619,54
 PANISSOS_BIS_a,70,1,1.6,7920,125,13,74162,290,2.3,296,111,4.7,2281,125,0.8,5618,219,4.7,-5641,185,6.4,47519,291,9.4,620705,817,0.7,11014,163,1.1,899,141,1.9,671,147,0.6,1802,157,4.5,112338,380,0,-7541,1,1.5,44559,273,1.5,669,41,0.7,398,34,1.6,1706,52,0.9,292,34,0.6,311,107,0.2,27,30,1,1461,52,0.8,7174,105,1,55524,250,0.4,2031,110,1.3,11588,191,0.4,1232,162,0.9,478,205,1,45059,414,1.3,69943,639,0.8,156,30,0.5,718,56
 PANISSOS_BIS_a,80,1,1.1,7540,124,12.9,71427,285,3.3,68,111,3.4,1635,122,1.1,4898,216,4.5,-4174,188,7.1,45379,286,7.9,637982,827,0.7,10970,163,0.8,807,140,2.5,743,147,0.9,1928,156,4.5,108636,374,0,-7599,1,1.7,42946,270,1.9,716,43,0.7,351,32,1.5,1521,49,0.9,281,32,0.6,487,104,0.7,17,29,1.2,1457,51,0.9,6994,104,1.2,55308,249,0.9,1992,109,1.3,11642,191,0.4,926,162,0.7,299,203,1.2,44506,410,1.1,68847,630,0.7,195,29,0.6,658,55
 PANISSOS_BIS_a,90,1,1.4,6786,118,15.7,65483,272,1.8,411,102,2.5,1522,112,0.6,5181,208,3.5,-4657,178,6.8,41814,275,8.9,562855,777,0.8,9828,156,0.2,756,136,1.8,132,141,0.7,1614,151,5.8,103221,364,0,-6107,1,1.4,40428,260,1.9,612,43,0.7,332,33,2.2,1423,49,0.4,229,32,0.5,392,103,0.6,54,28,1.3,1511,50,0.9,6997,103,0.6,53259,244,0.5,1975,107,1.3,10988,187,0.4,964,160,0.6,881,198,1.4,41730,404,0.9,66160,623,0.6,179,28,0.5,706,54
 PANISSOS_BIS_a,100,1,2.3,7684,124,13.5,72251,286,1.6,348,107,3.7,1445,117,1,4655,211,3.9,-4511,183,7.4,43815,282,8.7,605477,807,0.2,10734,162,0.5,580,138,2.6,608,145,1,1644,153,5.4,106536,370,0,-5860,1,1.9,41724,264,1.5,538,42,0.5,413,34,1.2,1493,49,1.1,290,33,0.8,728,116,0.7,50,30,0.9,1412,51,0.9,6695,102,1.1,53734,245,0.4,1881,107,0.9,11034,187,0.3,740,160,0.5,422,198,1.6,42134,402,1.2,67240,622,0.9,167,29,0.8,661,56
 PANISSOS_BIS_a,110,1,1.9,8881,130,12.6,78089,297,2.3,123,110,7,1121,119,1.9,3982,214,5.4,-5331,186,8,48032,292,7.5,620442,816,0.7,10998,163,0.7,937,140,3.5,685,145,0.4,1567,154,4.8,111953,379,0,-7632,1,2.1,44336,270,1.4,736,41,0.5,409,31,1.4,1535,49,0.5,246,32,0.5,498,107,0.5,21,29,0.8,1330,50,1.3,7105,105,0.6,51527,241,0.8,1892,108,1.1,11151,187,0.5,1183,157,0.9,893,198,1.3,42077,401,1.2,65340,616,0.6,152,29,0.5,708,56
 PANISSOS_BIS_a,120,1,0.8,8047,128,12.3,75308,294,4.4,246,109,3.4,1055,117,0.7,3618,315,4,-6458,474,7.1,46062,289,7.6,601377,1047,1.4,11219,163,0.8,751,141,2.5,869,152,0.4,1596,156,4.1,109686,381,0,-6181,1,2,46236,428,1.2,675,40,0.9,328,31,1,1563,49,1,259,31,1.4,451,117,0.5,32,29,1.2,1325,50,1.1,6884,103,0.8,51236,240,0.6,1871,107,0.5,10751,185,0.5,810,158,0.4,789,197,1.2,40794,398,0.8,65246,619,0.5,171,29,1.5,708,57
 PANISSOS_BIS_a,130,1,1.3,7036,122,13.6,66394,276,2.3,156,110,3.1,1316,120,1.3,4223,217,2,-5616,187,8.1,41534,282,7.6,680103,853,1.2,9617,157,0.6,676,138,1.5,572,144,0.4,1558,152,5.2,101269,363,0,-5529,1,1.2,45300,272,1.4,617,40,0.7,409,32,1,1371,48,0.5,172,31,0.7,374,114,0.7,54,28,0.5,1338,49,0.9,6457,100,1.2,47583,232,0.6,1716,105,1.2,10029,182,1.1,718,157,0.8,666,195,1.3,43034,400,0.9,64964,614,0.5,216,29,0.7,723,55
 PANISSOS_BIS_a,140,1,2,7993,126,15.1,74991,292,3.9,237,108,2.7,1287,118,1.5,3327,311,5.2,-6749,475,8.3,45660,290,6,616257,1056,0.3,10621,163,0.4,802,143,2.4,761,153,0.5,1808,157,4.5,112858,386,0,-6088,1,2.7,44411,421,2,622,41,0.6,342,32,1.7,1447,49,0.4,204,33,0.8,456,119,0.4,53,29,1.3,1310,51,1,6864,103,0.6,52465,244,0.5,1808,108,0.7,10891,188,0.5,808,161,0.6,641,201,1,42543,407,0.9,68202,627,0.7,161,29,1,681,57
 PANISSOS_BIS_a,150,1,2.4,8906,132,14.8,79743,300,1.6,53,110,4,1336,120,0.9,3271,217,3.5,-7197,189,5.4,49699,298,6.1,644932,832,0.4,11379,165,0.6,567,142,2.5,935,150,0.4,1901,159,4.5,117179,387,0,-6014,1,2.7,47168,275,0.9,591,41,0.6,388,33,2.1,1384,48,0.4,240,33,0.6,638,124,0.9,90,29,0.7,1479,51,1.5,6797,104,1.1,53042,245,0.4,1829,109,1.1,10799,188,0.6,1272,160,0.5,626,201,1.2,42345,405,0.8,67788,628,0.9,139,28,0.7,1009,60
